i,j,s_ij,mean_ratio,alpha_hat,lower,upper,in_range,used,target_used
0,1,0,0.0321656,0.0454085,-0.0227042,0.0227042,1,2444,5450948
0,2,0,-5.55975e-05,0.0454085,-0.0227042,0.0227042,0,2444,5450948
0,3,0,0.0192157,0.0454085,-0.0227042,0.0227042,0,2444,5450948
0,4,0,0.120829,0.0454085,-0.0227042,0.0227042,1,2444,5450948
0,5,0,0.0250992,0.0454085,-0.0227042,0.0227042,1,2444,5450948
0,6,0,-0.123795,0.0454085,-0.0227042,0.0227042,1,2444,5450948
0,7,0,-0.0935257,0.0454085,-0.0227042,0.0227042,1,2444,5450948
0,8,0,-0.206396,0.0454085,-0.0227042,0.0227042,1,2444,5450948
0,9,0,0.0967665,0.0454085,-0.0227042,0.0227042,1,2444,5450948
0,10,0,0.093143,0.0454085,-0.0227042,0.0227042,1,2444,5450948
0,11,0,0.172642,0.0454085,-0.0227042,0.0227042,1,2444,5450948
0,12,0,0.0789697,0.0454085,-0.0227042,0.0227042,1,2444,5450948
0,13,0,0.0421606,0.0454085,-0.0227042,0.0227042,1,2444,5450948
0,14,0,0.0887094,0.0454085,-0.0227042,0.0227042,1,2444,5450948
0,15,0,-0.0188833,0.0454085,-0.0227042,0.0227042,0,2444,5450948
1,0,-1,-0.122337,0.0454085,-0.0681127,-0.0227042,1,2444,5450414
1,1,0,-0.0680198,0.0454085,-0.0227042,0.0227042,1,2444,5450948
1,2,1,-0.0451414,0.0454085,0.0227042,0.0681127,1,2444,5450414
1,3,0,0.0305659,0.0454085,-0.0227042,0.0227042,1,2444,5450948
1,4,1,-0.0335559,0.0454085,0.0227042,0.0681127,1,2444,5450414
1,5,-1,-0.0923516,0.0454085,-0.0681127,-0.0227042,1,2444,5450414
1,6,1,0.0715348,0.0454085,0.0227042,0.0681127,1,2444,5450414
1,7,1,0.0339315,0.0454085,0.0227042,0.0681127,0,2444,5450414
1,8,-1,-0.0630582,0.0454085,-0.0681127,-0.0227042,0,2444,5450414
1,9,0,-0.126149,0.0454085,-0.0227042,0.0227042,1,2444,5450948
1,10,0,-0.131468,0.0454085,-0.0227042,0.0227042,1,2444,5450948
1,11,1,-0.0988488,0.0454085,0.0227042,0.0681127,1,2444,5450414
1,12,-1,-0.19911,0.0454085,-0.0681127,-0.0227042,1,2444,5450414
1,13,-1,0.0563022,0.0454085,-0.0681127,-0.0227042,1,2444,5450414
1,14,-1,-0.0274812,0.0454085,-0.0681127,-0.0227042,0,2444,5450414
1,15,1,-0.0201437,0.0454085,0.0227042,0.0681127,1,2444,5450414
2,0,1,-0.07716,0.0454085,0.0227042,0.0681127,1,2444,5450414
2,1,-1,0.101035,0.0454085,-0.0681127,-0.0227042,1,2444,5450414
2,2,0,0.0232737,0.0454085,-0.0227042,0.0227042,1,2444,5450948
2,3,1,0.0984038,0.0454085,0.0227042,0.0681127,1,2444,5450414
2,4,-1,-0.0324376,0.0454085,-0.0681127,-0.0227042,0,2444,5450414
2,5,0,0.0733812,0.0454085,-0.0227042,0.0227042,1,2444,5450948
2,6,1,-0.037657,0.0454085,0.0227042,0.0681127,1,2444,5450414
2,7,1,0.0431272,0.0454085,0.0227042,0.0681127,0,2444,5450414
2,8,0,0.146699,0.0454085,-0.0227042,0.0227042,1,2444,5450948
2,9,1,0.0198606,0.0454085,0.0227042,0.0681127,1,2444,5450414
2,10,1,0.0397106,0.0454085,0.0227042,0.0681127,0,2444,5450414
2,11,0,0.0194381,0.0454085,-0.0227042,0.0227042,0,2444,5450948
2,12,-1,0.0506339,0.0454085,-0.0681127,-0.0227042,1,2444,5450414
2,13,0,-0.0135266,0.0454085,-0.0227042,0.0227042,0,2444,5450948
2,14,0,-0.341494,0.0454085,-0.0227042,0.0227042,1,2444,5450948
2,15,1,0.0267507,0.0454085,0.0227042,0.0681127,0,2444,5450414
3,0,-1,0.0489879,0.0454085,-0.0681127,-0.0227042,1,2444,5450414
3,1,-1,0.0204255,0.0454085,-0.0681127,-0.0227042,1,2444,5450414
3,2,0,-0.0470209,0.0454085,-0.0227042,0.0227042,1,2444,5450948
3,3,1,0.0178865,0.0454085,0.0227042,0.0681127,1,2444,5450414
3,4,1,-0.13249,0.0454085,0.0227042,0.0681127,1,2444,5450414
3,5,-1,0.00413068,0.0454085,-0.0681127,-0.0227042,1,2444,5450414
3,6,0,0.0664368,0.0454085,-0.0227042,0.0227042,1,2444,5450948
3,7,0,0.122196,0.0454085,-0.0227042,0.0227042,1,2444,5450948
3,8,0,0.0453418,0.0454085,-0.0227042,0.0227042,1,2444,5450948
3,9,1,0.0290317,0.0454085,0.0227042,0.0681127,0,2444,5450414
3,10,-1,0.0126788,0.0454085,-0.0681127,-0.0227042,1,2444,5450414
3,11,-1,-0.0454085,0.0454085,-0.0681127,-0.0227042,0,2444,5450414
3,12,-1,0.0376918,0.0454085,-0.0681127,-0.0227042,1,2444,5450414
3,13,-1,0.104837,0.0454085,-0.0681127,-0.0227042,1,2444,5450414
3,14,0,0.0507207,0.0454085,-0.0227042,0.0227042,1,2444,5450948
3,15,1,-0.0867738,0.0454085,0.0227042,0.0681127,1,2444,5450414
4,0,1,-0.0471618,0.0454085,0.0227042,0.0681127,1,2444,5450414
4,1,1,0.136264,0.0454085,0.0227042,0.0681127,1,2444,5450414
4,2,0,-0.0182449,0.0454085,-0.0227042,0.0227042,0,2444,5450948
4,3,1,-0.100567,0.0454085,0.0227042,0.0681127,1,2444,5450414
4,4,-1,-0.127788,0.0454085,-0.0681127,-0.0227042,1,2444,5450414
4,5,0,-0.0654391,0.0454085,-0.0227042,0.0227042,1,2444,5450948
4,6,0,-0.00111721,0.0454085,-0.0227042,0.0227042,0,2444,5450948
4,7,0,-0.16589,0.0454085,-0.0227042,0.0227042,1,2444,5450948
4,8,-1,-0.0145389,0.0454085,-0.0681127,-0.0227042,1,2444,5450414
4,9,0,0.0342869,0.0454085,-0.0227042,0.0227042,1,2444,5450948
4,10,0,-0.0198761,0.0454085,-0.0227042,0.0227042,0,2444,5450948
4,11,0,0.115386,0.0454085,-0.0227042,0.0227042,1,2444,5450948
4,12,-1,-0.138138,0.0454085,-0.0681127,-0.0227042,1,2444,5450414
4,13,-1,0.0914623,0.0454085,-0.0681127,-0.0227042,1,2444,5450414
4,14,-1,-0.00361852,0.0454085,-0.0681127,-0.0227042,1,2444,5450414
