i,j,s_ij,mean_ratio,alpha_hat,lower,upper,in_range,used,target_used
0,1,0,-0.0124206,0.0473599,-0.02368,0.02368,0,4866,7636807
0,2,0,0.0782783,0.0473599,-0.02368,0.02368,1,4866,7636807
0,3,0,0.0663357,0.0473599,-0.02368,0.02368,1,4866,7636807
0,4,0,0.0128132,0.0473599,-0.02368,0.02368,0,4866,7636807
0,5,0,0.0364232,0.0473599,-0.02368,0.02368,1,4866,7636807
0,6,0,0.00821988,0.0473599,-0.02368,0.02368,0,4866,7636807
0,7,0,-0.136983,0.0473599,-0.02368,0.02368,1,4866,7636807
0,8,0,0.0799595,0.0473599,-0.02368,0.02368,1,4866,7636807
0,9,0,-0.00186614,0.0473599,-0.02368,0.02368,0,4866,7636807
0,10,0,0.0305544,0.0473599,-0.02368,0.02368,1,4866,7636807
0,11,0,0.0223054,0.0473599,-0.02368,0.02368,0,4866,7636807
0,12,0,0.10507,0.0473599,-0.02368,0.02368,1,4866,7636807
0,13,0,0.114133,0.0473599,-0.02368,0.02368,1,4866,7636807
0,14,0,-0.013157,0.0473599,-0.02368,0.02368,0,4866,7636807
0,15,0,0.0142566,0.0473599,-0.02368,0.02368,0,4866,7636807
1,0,-1,0.0343233,0.0473599,-0.0710399,-0.02368,1,4866,2914488
1,1,0,-0.00148705,0.0473599,-0.02368,0.02368,0,4866,7636807
1,2,0,-0.0384977,0.0473599,-0.02368,0.02368,1,4866,7636807
1,3,-1,-0.00555292,0.0473599,-0.0710399,-0.02368,1,4866,2914488
1,4,0,0.0296996,0.0473599,-0.02368,0.02368,1,4866,7636807
1,5,0,0.0280317,0.0473599,-0.02368,0.02368,1,4866,7636807
1,6,0,-0.145463,0.0473599,-0.02368,0.02368,1,4866,7636807
1,7,1,0.0117629,0.0473599,0.02368,0.0710399,1,4866,2914488
1,8,-1,0.0173327,0.0473599,-0.0710399,-0.02368,1,4866,2914488
1,9,0,0.115705,0.0473599,-0.02368,0.02368,1,4866,7636807
1,10,0,0.0696027,0.0473599,-0.02368,0.02368,1,4866,7636807
1,11,0,-0.143218,0.0473599,-0.02368,0.02368,1,4866,7636807
1,12,1,-0.0157759,0.0473599,0.02368,0.0710399,1,4866,2914488
1,13,0,-0.0484554,0.0473599,-0.02368,0.02368,1,4866,7636807
1,14,1,-0.00950537,0.0473599,0.02368,0.0710399,1,4866,2914488
1,15,-1,-0.0150218,0.0473599,-0.0710399,-0.02368,1,4866,2914488
2,0,1,0.107022,0.0473599,0.02368,0.0710399,1,4866,2914488
2,1,0,-0.0439492,0.0473599,-0.02368,0.02368,1,4866,7636807
2,2,0,0.0632538,0.0473599,-0.02368,0.02368,1,4866,7636807
2,3,1,0.0200958,0.0473599,0.02368,0.0710399,1,4866,2914488
2,4,1,0.0687803,0.0473599,0.02368,0.0710399,0,4866,2914488
2,5,0,-0.0185867,0.0473599,-0.02368,0.02368,0,4866,7636807
2,6,-1,-0.00916308,0.0473599,-0.0710399,-0.02368,1,4866,2914488
2,7,-1,0.0117952,0.0473599,-0.0710399,-0.02368,1,4866,2914488
2,8,0,-0.0470375,0.0473599,-0.02368,0.02368,1,4866,7636807
2,9,-1,-0.0196948,0.0473599,-0.0710399,-0.02368,1,4866,2914488
2,10,1,-0.0601527,0.0473599,0.02368,0.0710399,1,4866,2914488
