sample,target_poly,target_coeff,s00,sij,y00,w00,z00,yij,wij,zij,ratio
0,1,1,1,0,15,2,17,13,3,16,0.941176
1,1,1,1,0,12,-2,10,-12,-7,-19,-1.9
2,1,1,1,0,7,1,8,-2,3,1,0.125
3,1,1,1,0,21,2,23,3,3,6,0.26087
4,1,1,1,0,8,-1,7,4,2,6,0.857143
5,1,1,1,0,-3,0,-3,-5,9,4,-1.33333
6,1,1,1,0,-2,2,0,15,-3,12,0
7,1,1,1,0,27,-2,25,1,3,4,0.16
8,1,1,1,0,-9,-1,-10,-15,2,-13,1.3
9,1,1,1,0,7,-4,3,6,-3,3,1
10,1,1,1,0,-17,-1,-18,3,-1,2,-0.111111
11,1,1,1,0,-25,-1,-26,13,-1,12,-0.461538
12,1,1,1,0,-35,0,-35,21,-11,10,-0.285714
13,1,1,1,0,-20,0,-20,0,17,17,-0.85
14,1,1,1,0,14,-2,12,-24,-3,-27,-2.25
15,1,1,1,0,-7,1,-6,13,2,15,-2.5
16,1,1,1,0,0,2,2,5,11,16,8
17,1,1,1,0,8,0,8,24,-1,23,2.875
18,1,1,1,0,14,-2,12,10,2,12,1
19,1,1,1,0,-14,2,-12,0,0,0,-0
20,1,1,1,0,22,-2,20,1,-6,-5,-0.25
21,1,1,1,0,-21,0,-21,10,-13,-3,0.142857
22,1,1,1,0,-23,0,-23,-4,-2,-6,0.26087
23,1,1,1,0,-7,-1,-8,-6,-7,-13,1.625
24,1,1,1,0,-7,3,-4,-7,-6,-13,3.25
25,1,1,1,0,-16,-2,-18,-29,-3,-32,1.77778
26,1,1,1,0,-2,2,0,-13,-2,-15,0
27,1,1,1,0,10,0,10,7,-7,0,0
28,1,1,1,0,18,-1,17,-15,2,-13,-0.764706
29,1,1,1,0,20,0,20,25,2,27,1.35
30,1,1,1,0,-30,-3,-33,2,-4,-2,0.0606061
31,1,1,1,0,4,1,5,4,-6,-2,-0.4
32,1,1,1,0,-2,1,-1,-19,-4,-23,23
33,1,1,1,0,5,3,8,-10,1,-9,-1.125
34,1,1,1,0,17,2,19,-11,2,-9,-0.473684
35,1,1,1,0,12,0,12,-26,-2,-28,-2.33333
36,1,1,1,0,-6,0,-6,27,-5,22,-3.66667
37,1,1,1,0,-8,-1,-9,10,-10,0,-0
38,1,1,1,0,1,-3,-2,-11,6,-5,2.5
39,1,1,1,0,-3,-1,-4,22,1,23,-5.75
40,1,1,1,0,-26,0,-26,-10,1,-9,0.346154
41,1,1,1,0,-6,1,-5,27,-2,25,-5
42,1,1,1,0,15,1,16,7,3,10,0.625
43,1,1,1,0,5,0,5,-8,1,-7,-1.4
44,1,1,1,0,-1,-1,-2,-15,-1,-16,8
45,1,1,1,0,-17,-4,-21,23,0,23,-1.09524
46,1,1,1,0,-20,1,-19,23,-1,22,-1.15789
47,1,1,1,0,25,-1,24,16,2,18,0.75
48,1,1,1,0,4,0,4,31,3,34,8.5
49,1,1,1,0,22,-1,21,-34,-11,-45,-2.14286
50,1,1,1,0,-11,1,-10,-14,2,-12,1.2
51,1,1,1,0,7,0,7,-14,12,-2,-0.285714
52,1,1,1,0,-16,2,-14,-32,-2,-34,2.42857
53,1,1,1,0,5,-1,4,-13,-4,-17,-4.25
54,1,1,1,0,30,0,30,-1,2,1,0.0333333
55,1,1,1,0,16,2,18,38,-5,33,1.83333
56,1,1,1,0,-16,2,-14,13,6,19,-1.35714
57,1,1,1,0,-3,3,0,3,4,7,0
58,1,1,1,0,7,2,9,-7,0,-7,-0.777778
59,1,1,1,0,16,-1,15,-25,7,-18,-1.2
60,1,1,1,0,5,1,6,-5,11,6,1
61,1,1,1,0,-21,0,-21,-12,6,-6,0.285714
62,1,1,1,0,9,-1,8,-5,0,-5,-0.625
63,1,1,1,0,-18,-1,-19,-19,7,-12,0.631579
64,1,1,1,0,-9,-2,-11,-5,8,3,-0.272727
65,1,1,1,0,31,0,31,31,5,36,1.16129
66,1,1,1,0,8,-1,7,-16,-6,-22,-3.14286
67,1,1,1,0,18,0,18,-17,-10,-27,-1.5
68,1,1,1,0,-14,-2,-16,7,0,7,-0.4375
69,1,1,1,0,-19,-2,-21,-4,-4,-8,0.380952
70,1,1,1,0,-20,-2,-22,-4,10,6,-0.272727
71,1,1,1,0,20,-1,19,-20,3,-17,-0.894737
72,1,1,1,0,-20,-1,-21,5,6,11,-0.52381
73,1,1,1,0,25,2,27,0,-7,-7,-0.259259
74,1,1,1,0,-17,-3,-20,-11,6,-5,0.25
75,1,1,1,0,19,-5,14,-10,4,-6,-0.428571
76,1,1,1,0,-19,2,-17,-21,-5,-26,1.52941
77,1,1,1,0,-8,0,-8,9,6,15,-1.875
78,1,1,1,0,-5,3,-2,-5,1,-4,2
79,1,1,1,0,-12,-1,-13,5,-6,-1,0.0769231
80,1,1,1,0,4,-2,2,-25,-8,-33,-16.5
81,1,1,1,0,-22,3,-19,-9,5,-4,0.210526
82,1,1,1,0,2,1,3,9,7,16,5.33333
83,1,1,1,0,-19,1,-18,13,-14,-1,0.0555556
84,1,1,1,0,-3,0,-3,13,-9,4,-1.33333
85,1,1,1,0,-1,-3,-4,-10,0,-10,2.5
86,1,1,1,0,12,-1,11,-4,-9,-13,-1.18182
87,1,1,1,0,2,2,4,-29,-5,-34,-8.5
88,1,1,1,0,-13,2,-11,3,7,10,-0.909091
89,1,1,1,0,-18,1,-17,5,-10,-5,0.294118
90,1,1,1,0,16,1,17,18,12,30,1.76471
91,1,1,1,0,-5,-5,-10,-7,4,-3,0.3
92,1,1,1,0,7,1,8,16,14,30,3.75
93,1,1,1,0,-6,0,-6,1,-3,-2,0.333333
94,1,1,1,0,16,0,16,1,0,1,0.0625
95,1,1,1,0,-5,1,-4,-2,3,1,-0.25
96,1,1,1,0,13,-4,9,18,-7,11,1.22222
97,1,1,1,0,-13,2,-11,11,2,13,-1.18182
98,1,1,1,0,-33,-1,-34,-16,-16,-32,0.941176
99,1,1,1,0,-15,1,-14,1,11,12,-0.857143
100,1,1,1,0,-50,1,-49,-2,-6,-8,0.163265
101,1,1,1,0,-7,3,-4,12,-4,8,-2
102,1,1,1,0,7,1,8,0,-2,-2,-0.25
103,1,1,1,0,9,0,9,1,6,7,0.777778
104,1,1,1,0,-6,2,-4,-12,3,-9,2.25
105,1,1,1,0,-10,2,-8,19,9,28,-3.5
106,1,1,1,0,20,1,21,-2,3,1,0.047619
107,1,1,1,0,-8,1,-7,8,-8,0,-0
108,1,1,1,0,-5,-1,-6,11,6,17,-2.83333
109,1,1,1,0,-11,-3,-14,11,15,26,-1.85714
110,1,1,1,0,24,-2,22,-7,2,-5,-0.227273
111,1,1,1,0,18,1,19,0,-7,-7,-0.368421
112,1,1,1,0,17,3,20,-6,-5,-11,-0.55
113,1,1,1,0,-2,0,-2,18,3,21,-10.5
114,1,1,1,0,10,1,11,-46,8,-38,-3.45455
115,1,1,1,0,-10,1,-9,1,7,8,-0.888889
116,1,1,1,0,-20,2,-18,5,-5,0,-0
117,1,1,1,0,1,0,1,2,18,20,20
118,1,1,1,0,-5,0,-5,-1,-6,-7,1.4
119,1,1,1,0,-3,-2,-5,-6,8,2,-0.4
120,1,1,1,0,-21,0,-21,-18,-10,-28,1.33333
121,1,1,1,0,17,0,17,3,0,3,0.176471
122,1,1,1,0,-1,2,1,-4,2,-2,-2
123,1,1,1,0,-4,-1,-5,-4,0,-4,0.8
124,1,1,1,0,13,-1,12,-14,12,-2,-0.166667
125,1,1,1,0,32,3,35,-18,-3,-21,-0.6
126,1,1,1,0,-20,1,-19,1,-7,-6,0.315789
127,1,1,1,0,-25,0,-25,-22,-6,-28,1.12
128,1,1,1,0,-5,0,-5,-6,3,-3,0.6
129,1,1,1,0,6,0,6,-15,-16,-31,-5.16667
130,1,1,1,0,-6,-1,-7,1,8,9,-1.28571
131,1,1,1,0,3,-2,1,18,2,20,20
132,1,1,1,0,-16,0,-16,-5,-10,-15,0.9375
133,1,1,1,0,6,0,6,23,1,24,4
134,1,1,1,0,-23,-2,-25,-14,-12,-26,1.04
135,1,1,1,0,11,-1,10,-1,5,4,0.4
136,1,1,1,0,13,-1,12,11,-9,2,0.166667
137,1,1,1,0,-13,1,-12,13,-10,3,-0.25
138,1,1,1,0,8,3,11,6,-10,-4,-0.363636
139,1,1,1,0,-2,-4,-6,33,-3,30,-5
140,1,1,1,0,33,3,36,1,5,6,0.166667
141,1,1,1,0,36,-2,34,1,8,9,0.264706
142,1,1,1,0,4,-3,1,9,4,13,13
143,1,1,1,0,-23,-1,-24,16,-7,9,-0.375
144,1,1,1,0,-17,1,-16,6,-10,-4,0.25
145,1,1,1,0,10,1,11,6,-2,4,0.363636
146,1,1,1,0,-13,0,-13,18,-4,14,-1.07692
147,1,1,1,0,-20,-2,-22,-4,-7,-11,0.5
148,1,1,1,0,-2,-2,-4,5,-1,4,-1
149,1,1,1,0,-8,-2,-10,5,4,9,-0.9
150,1,1,1,0,-9,3,-6,-4,1,-3,0.5
151,1,1,1,0,7,0,7,11,-2,9,1.28571
152,1,1,1,0,9,6,15,45,-5,40,2.66667
153,1,1,1,0,1,-5,-4,37,2,39,-9.75
154,1,1,1,0,10,0,10,-9,-7,-16,-1.6
155,1,1,1,0,16,-1,15,-14,-3,-17,-1.13333
156,1,1,1,0,-7,-5,-12,5,-3,2,-0.166667
157,1,1,1,0,-1,3,2,-21,3,-18,-9
158,1,1,1,0,12,2,14,12,-1,11,0.785714
159,1,1,1,0,-13,3,-10,-3,0,-3,0.3
160,1,1,1,0,-10,-1,-11,24,3,27,-2.45455
161,1,1,1,0,0,-3,-3,-18,-4,-22,7.33333
162,1,1,1,0,9,4,13,1,8,9,0.692308
163,1,1,1,0,-10,0,-10,-4,4,0,-0
164,1,1,1,0,-1,-2,-3,19,1,20,-6.66667
165,1,1,1,0,13,0,13,16,-1,15,1.15385
166,1,1,1,0,3,-2,1,-20,-3,-23,-23
167,1,1,1,0,1,0,1,30,-4,26,26
168,1,1,1,0,19,1,20,14,-5,9,0.45
169,1,1,1,0,12,0,12,21,3,24,2
170,1,1,1,0,13,-3,10,3,1,4,0.4
171,1,1,1,0,11,-3,8,-7,-16,-23,-2.875
172,1,1,1,0,0,-3,-3,17,0,17,-5.66667
173,1,1,1,0,-10,3,-7,5,8,13,-1.85714
174,1,1,1,0,-4,-1,-5,-17,2,-15,3
175,1,1,1,0,28,-3,25,17,4,21,0.84
176,1,1,1,0,-23,1,-22,21,-6,15,-0.681818
177,1,1,1,0,-13,-5,-18,-21,10,-11,0.611111
178,1,1,1,0,-24,2,-22,-23,1,-22,1
179,1,1,1,0,-5,-4,-9,5,10,15,-1.66667
180,1,1,1,0,21,0,21,-6,5,-1,-0.047619
181,1,1,1,0,18,3,21,-13,0,-13,-0.619048
182,1,1,1,0,28,1,29,8,7,15,0.517241
183,1,1,1,0,0,-2,-2,-7,-3,-10,5
184,1,1,1,0,-13,-2,-15,16,-5,11,-0.733333
185,1,1,1,0,-15,0,-15,-9,-10,-19,1.26667
186,1,1,1,0,-5,3,-2,-21,5,-16,8
187,1,1,1,0,36,2,38,-17,0,-17,-0.447368
188,1,1,1,0,27,1,28,1,1,2,0.0714286
189,1,1,1,0,6,-4,2,8,14,22,11
190,1,1,1,0,-9,1,-8,-14,-1,-15,1.875
191,1,1,1,0,12,-2,10,34,-2,32,3.2
192,1,1,1,0,-8,1,-7,-17,-1,-18,2.57143
193,1,1,1,0,-15,1,-14,9,5,14,-1
194,1,1,1,0,34,3,37,-14,-3,-17,-0.459459
195,1,1,1,0,-13,0,-13,24,6,30,-2.30769
196,1,1,1,0,-1,-2,-3,10,-7,3,-1
197,1,1,1,0,-1,-1,-2,9,0,9,-4.5
198,1,1,1,0,-6,-1,-7,-9,-5,-14,2
199,1,1,1,0,-10,3,-7,-5,-6,-11,1.57143
200,1,1,1,0,-15,0,-15,6,7,13,-0.866667
201,1,1,1,0,10,2,12,4,-2,2,0.166667
202,1,1,1,0,1,0,1,0,5,5,5
203,1,1,1,0,6,-1,5,-5,0,-5,-1
204,1,1,1,0,8,-1,7,23,10,33,4.71429
205,1,1,1,0,2,0,2,-13,-3,-16,-8
206,1,1,1,0,7,1,8,9,4,13,1.625
207,1,1,1,0,7,4,11,-7,0,-7,-0.636364
208,1,1,1,0,-10,1,-9,9,1,10,-1.11111
209,1,1,1,0,22,-2,20,-6,7,1,0.05
210,1,1,1,0,-13,-1,-14,-3,14,11,-0.785714
211,1,1,1,0,-7,4,-3,0,-9,-9,3
212,1,1,1,0,-13,-3,-16,13,13,26,-1.625
213,1,1,1,0,-13,2,-11,-5,15,10,-0.909091
214,1,1,1,0,20,0,20,2,-4,-2,-0.1
215,1,1,1,0,5,1,6,14,-12,2,0.333333
216,1,1,1,0,5,-1,4,13,-10,3,0.75
217,1,1,1,0,1,0,1,27,10,37,37
218,1,1,1,0,-15,0,-15,-13,-7,-20,1.33333
219,1,1,1,0,-14,2,-12,-10,9,-1,0.0833333
220,1,1,1,0,-15,1,-14,13,-9,4,-0.285714
221,1,1,1,0,28,-4,24,14,0,14,0.583333
222,1,1,1,0,15,-3,12,-4,3,-1,-0.0833333
